-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
"10aŭstrujo-Hungarujo, aŭstro-Hungarujo","Imperio en la fino de la habsburga monarĥio, 1867–1918 estiĝinta el unio de la Aŭstra Imperio kaj parto de la Hungara Regno: tiu ĉi poŝto alportas objektojn ne sole por Germanujo, sed ankaŭ transire por Polujo, Rusujo, o-Hungarujo, Turkujo, Svedo-Norvegujo, eĉ por la norda Italujo FK Fundamenta Krestomatio de la lingvo Esperanto ; Karl 1a, la lasta imperiestro de la o-Hungara Imperio, resanigis la varikajn vejnojn de monaĥino Monato W. H. Simcock Sanktuloj 2005 ."
10Malsupra aŭstrujo,Federacia ŝtato en la nordoriento de Aŭstrujo.
10Supra aŭstrujo,Federacia ŝtato okcidente de Malsupra Aŭstrujo.
"8 Aŭstralio Akademio de Esperanto, 8a Oficiala Aldono, II.C.1 Akademio de Esperanto, Oficiala Informo 12, Listo de Rekomendataj Landnomoj","La plej malgranda inter la kontinentoj, situanta inter Pacifiko kaj Hinda Oceano."
Okcidenta Aŭstralio,"Okcidenta subŝtato de Aŭstralio: estis plantitaj du ruĝaj rozarbustoj ... antaŭ la kolegio Sankta Georgo” de Okcidenta o J. Bishop, En la plej izolita urbo de la mondo, La Ondo de Esperanto, 2002:3 ."
Suda Aŭstralio,"Suda subŝtato de Aŭstralio: la LKK informis ĉiujn ĵurnalojn en Suda o pri la kongreso T. Steele, Ĉu malesperi?, La Ondo de Esperanto, 2011:11 ."
Aŭstralazio,"Mondoparto, subparto de Oceanio entenanta Aŭstralion, Novzelandon, Novgvineon, eventuale proksimajn insulojn, sed ne entenanta la pacifikajn insulojn: Karu havas korespond-amikinon en o kaj Tambu havas korespond-amikon en Ameriko A. Childs-Mee, I. Ávila k. a. Saluton! Esperanto Aŭtodidakte [vidita en 2025] ."
aŭstralopiteko,"Prahistoria malgranda homedo (Australopithecus) el genro, kiu vivis en orienta kaj suda Afriko inter 3 milionoj kaj 1 milionoj da jaroj a.K.: zono de arbaroj ... estis elirebla de la o, la plej frua prahomo Perez-Franco Denove: pri kiel istmeto ŝanĝis la mondon soc.culture.esperanto, 2003-02-08 ."
Aŭstrio,"Aŭstrujo: o estas ŝtato en centra Eŭropo; Viki, Aŭstrio. dume Slavoj kaj Germanoj batalis en o kaj ekstere VivZam ; Hungario kaj o klopodas konvinki Eŭropan Union, ke ĝi disponigu la bezonatan monsumon Evgeni Georgiev Danuba ŝiptrafiko paralizita Monato 2000/03, p. 16 ; la a ĉefurbo Vieno Laimius Stražnickas Monda ĉampionado de dancoj Monato 2000/05, p. 17 ."
10Aŭstronezio,"La insuloj, en kiuj estas parolataj aj lingvoj, etendiĝanta de Tajvano okcidente ĝis Madagaskaro, sude ĝis Nov-Zelando, oriente ĝis Paskinsulo: Polinezio estas la plej orienta parto de Oceanio, kaj samtempe de o Etnismo - Numero 085, Majo (2010) ."
10Aŭstronezia,"Rilata al lingvogrupo kaj ties parolantoj kun origino en Tajvano kaj apuda kontinenta bordo: en la tagala (la a familio) gramatikaj vortklasoj distingiĝas tute ali[maniere], ol ekzemple en eŭropaj lingvoj Monato Mihail Korotkov La origino de la homaj lingvoj 2011 ."
aŭtarcio,"Memsufiĉo: entreprenistoj […] volus liberiĝi de la burokratiaj ligaĵoj kaj de la naciaj oj, kiuj malhelpas ĉiun ilian moviĝon A. Spinelli, E. Rossi, trad. U. Broccatelli, La Manifesto de Ventotene, [2007] ; energio Monato Walter Klag Novtipa ekologia turismo 2012 ."
aŭtarcia,"Memsufiĉa: Albanio forlasis la centralizitan, izolitan kaj an ekonomian sistemon de la reala socialismo” Monato Bardhyl Selimi Venkis malŝparemo kaj koruptado 2005 ; Güssing estas energie a kaj eĉ eksportas energion Monato Walter Klag Novtipa ekologia turismo 2012 ."
aŭtarkio,"Memregado: Becher estis universala homo, plej altan renomon li akiris kiel ekonomiisto en la tiama epoko de la merkantilismo, kiam naciaj ŝtatoj komencis strukturi sian ekonomion kaj provis atingi aktivan komercobilancon kaj on per altigo de la propra produktado kaj per reduktado de la importoj Monato Franz-Georg Rössler Homo universala, homo moderna: Johann Joachim Becher naskiĝis antaŭ 375 jaroj ."
aŭtarkia,Memrega: Bulgario restis plu a lando Viki Konsilio de Reciproka Ekonomia Helpo .
"aŭtentika, aŭtentika","Nedubeble certa, vera, originala, ne falsita, aŭtenta: a dokumento; a rakonto Far2 Ĉapitro XIV; la a teksto de la Deklaracio LR 1. La Fundamento; la babilado de la kamparano estas a Far1 Ĉapitro II ; Ĉar okuloj, vangoj, buŝo / Estas fruktoj aj / Sen bezono de retuŝo / Per artaĵoj kosmetikaj Raymond Schwartz La Stranga Butiko Vilaĝanino ; mezepokaj verkoj prezentataj per aj muzikiloj-: Anna kaj Mati Pentus, Monatojaro 2002a, numero 6a, p. 6a. en la a Pinyin, tonmarkoj estas integra parto de literumado Yamasaki S., Transskribo de la ĉina, Monato, 1999:4, p. 20a; la leterpapero ŝajnis a Johán Balano: Ĉu ŝi mortu tra-fike?. Ĉap. 5ª.; la aŭtorino […] decidis akcepti nur plurvortaĵojn kiel ajn frazeologismojn Pejno Simono Plansprache und Phraseologie Monato 2000/06, p. 33 ."
"aŭtentikaĵo, aŭtentikaĵo","Io a: ili volas vidi aĵojn, ne imitaĵojn Monato Hori Yasuo Fermiĝas la arbaro-domo 2003 ."
"aŭtentikeco, aŭtentikeco","Eco de io a: oni dubas pri ĝia eco Fab3 Post jarmiloj ; la papo Leono la 13a proklamis al la mondo la econ de la restaĵoj de Sankta Jakobo Rafaela Urueña Vojoj al la sankta urbo Monato 2000/03, p. 24 ; ĉiuj proverboj en Esperanto venas el tiu ĉi sola fonto, pro kio iam oni aŭdas niacirkle dubeman opinion pri ties eco Pejno Simono Plansprache und Phraseologie Monato 2000/06, p. 33 ; estis ege plaĉa ideo de la aŭtoro, ĝenerale preni la pli originajn nomo-formojn: tio vere kontribuas al sento pri eco Gerrit Berveling, Historia romano pri Jesuo, Monato, 2001/11, p. 28 ."
"aŭtentikigi, aŭtentikigi",Oficiale certigi la econ: papo Leono la 13-a per katedra letero en 1884 igis la relikvojn de la apostolo Le Monde diplomatique en Esperanto .
"malaŭtentika, malaŭtentika","Ne vera, ne origina, falsita: la mala, do la sofisma filozofio” […] provas eĉ la plej primitivajn konstatojn esprimi en laŭeble meandraj, pezaj kaj malfacile kompreneblaj frazegoj V. Ošlak, Foje eĉ pensi estas ĝuo, 2003 ; mala, malsincera, sirope elgutanta ĉarmo J. Wain, trad. M. Boulton, Sinjoreto Rikardo, Nica Literatura Revuo, 1962-01 ĝis 02, (7/3), p. 93a-106a ."
aŭtismo,"Speco de perturbo, kiu influas la korpan, socialan kaj parolan kapablojn ĉe homo: pri spertoj kiel vivi kun o-handikapita infano parolis R. kaj J. P. VandenDaele G. Opulskiené, 23-a IF en Saarbrücken, 1998 ; eblas ke mi havas sindromon de Asperger, specon de o Juerd, [hejmpaĝo], [vidita en 2007-06] ."
aŭtismulo,Homo kun o.
2 aŭtobiografio,"Membiografio: intertempe jam aperis du pliaj oj de la sama aŭtoro Julian Modest: Sincere kaj honeste pri si mem (Gerrit Berveling: La unuaj 25 jaroj de mia memoro), Monato 1995/07, p. 22; la libro enhavas elementon de o: […] la verkisto skribis pri la spertoj de li aŭ de liaj pacientoj Miland Joshi Nevideblaj mondoj Monato 2008/07, p. 23 ; ĝui belan artisman an romanon Reinaldo Marcelo Ferreira Ne nur intimaj temoj Monato 2005/07, p. 32 ; surbaze de a materialo Nikolao Gudskov Interna pejzaĝo de alia virino Monato 2004/05, p. 24 ."
aŭtobuso,"Granda aŭtomobilo por publika transportado de pluraj personoj samtempe, ĉefe en urbo aŭ en ĝia ĉirkaŭaĵo: turismaj oj revenis duonplenaj al Litovio Antanas Grinčevičius: Ruze eniri, akuze eliri, Monatojaro 2000a, numero 11a, p. 6a."
aŭtodafeo,"Punbruligo de herezuloj aŭ tiaj libroj: en la o okazinta en tiu urbo la tagojn 7-a kaj 8-a de novembro 1610 […] ses personoj kiuj rezistis estis vive bruligataj kaj kvin postmorte Viki Sorĉistinoj de Zugarramurdi ; [en] nazia Germanujo […] okazis multaj oj, ĉefe de libroj de aŭtoroj judaj, komunismaj, ktp Viki Nazia Germanio ."
aŭtodidakto,"Memlernanto, memlerninto : Esperanto por oj (titolo de memlernilo pri Esperanto) Prelegaro Internacia Seminario pri Komenio, Prago, ĈEA, 1992 ; temis pri Saluton!, la a lernilo de Audrey Childs-Mee UEA: furora vendojaro 1999 LOdE, 2000. N-ro 4 ; Lanti […] estis o, memlerninto Georges Lagrange: Privat kaj Lanti. LOdE, 1992:2 ; ekspozicio pri arto de oj: skulptaĵoj, pentraĵoj, fotoj Monato Saliko Folklora festivalo en Kaustinen 2005 ; a konstruisto inventis ĝin Laimius Stražnickas Nekutimaj transportiloj Monato 2000/06, p. 21 ."
aŭtodidakte,"Lernante memstare: li lernis e la lingvon Monato Carlo Minnaja Resume de l' mio 2007 ; li e akiris multajn konojn krom tiuj de profesia agitisto en politiko, li tamen lernis retorikon Monato Gilbert Ledon Misa mondo 2003 ; vi estas hungaro, studanta e, kaj volas lerni la vortojn anglalingvajn kaj esperantajn pri hejmaj aŭ familiaj aferoj Monato Donald Broadribb Unika vortaro por lernantoj 2006 ."
aŭtofagio,"Memkonsumo; procezo per kiu ĉelo forigas difektitajn, malsanigajn, nefunkciajn proteinojn, organetojn, substancojn el sia plasmo: per la Acetil-koenzimoA ni malkovris molekulan ŝaltilon, kiu povas direkti la on A. Oberndorfer, Grava molekulo por purigado de ĉeloj, Esperanta Retradio, 2014-04-07 ."
aŭtografo,Skribaĵo propramane farita de iu persono mem: kolekto da oj; a dokumento.
aŭtografi,"Manskribi aŭtore aŭ alskribi por validigi, aŭtentigi: Lidia is antologion de la verkoj de L. L. Zamenhof por Pierre Dehan W. Heller, trad. B. Westerhoff Lidia, la Vivo de Lidia Zamenhof, Filino de Esperanto 2007 ."
aŭtografio,"Procedo, per kiu oni reproduktas manskribaĵojn: en junio 1926 li reeldonis LRS (La Rejnan Stelon) bone ita kun multaj bildoj Viki La Rejna Stelo ; La Vagabondo - ĝis fino 1913 ĝi estis aŭtografiita kaj dum 1914 presita Viki La Vagabondo ."
aŭtogiro,"Flugaparato, kiu aerportiĝas danke al rotoro libere turniĝanta sur sia akso kaj movas sin pere de ordinara vertikala helico: kiel inventinto de la o kutimas nomiĝi la la hispana inĝeniero Juan de la Cierva, kiu en 1923 registris [ĝin] kiel varmarko, la baza principo de la flugaparato tamen estis jam antaŭe detale skizita de la majorkano Pere Sastre Obrador Viki Aŭtogiro ."
"aŭtoĥtono, aŭtoĥtono","Indiĝeno: distingi on de fremdulo Far1, antaŭparolo; ekzistas kvartaloj, loĝataj precipe de neoj, kie agreso kaj perforto furoras Monato Ivo Durwael Rajtoj pri ritoj 2012 ."
"aŭtoĥtona, aŭtoĥtona","Indiĝena: la aj Egiptanoj havis kupran koloron de l' haŭto Far1, antaŭparolo; la internacia komunumo decidis sendependigi Kosovon, kie pli ol 90 % de la loĝantaro konsistas el albanetnuloj aj Monato Bardhyl Selimi Ĉu fine solvo? 2008 ; albanoj estas aj en okcidenta Makedonio Monato Bardhyl Selimi Neniu paco sen interkonsento 2003 ; la esperanta prononco estas tre malsimila al la landnomo a Remush, Asia esperanto, soc.culture.esperanto, 2004-07-10 ."
aŭtokrato,"Absoluta regnestro: la problemon povas solvi la papo, kiu estas la lasta o kaj regas la eklezion, la Sanktan Diocezon kaj Vatikanon Monato W. H. Simcock Kial pastroj ne edziĝu? ; kvankam la mondaj ĉefaj demokratioj suferos denove malfacilan jaron dum 2013, tamen ili […] kaŭzos envion al la oj en Pekino kaj Moskvo Monato Lenio Marobin Krizo de memfido ."
aŭtokratismo,Sistemo de absoluta regado: Leopold Schlaf […] ne sukcesis defendi sin je la akuzoj de ismo kaj agado defende al propraj ekonomiaj interesoj Viki Leopold Schlaf ; Kropotkin ekpensis reveni al Rusio por partopreni en la lukto kontraŭ la ismo Viki Petro Kropotkin .
aŭtokratio,"Aŭtokratismo: hodiaŭ, dum la mondo ĝenerale turnas sin al demokratio, ŝajnas, ke Britio direktiĝas al o Monato W. H. Simcock Iom da proporcio ."
aŭtoklavo,"Hermetika premrezista ujo, uzata por steriligado, vulkanizado, rapidkuirado k.a.: li perdis on kaj nun ne havas kie sterilizi instrumentojn Jurij German, trad. Jurij Finkel La afero, al kiu vi servas ĉap. 13, Vojo al Khara, P. 249 ."
aŭtomobilo,"Aŭto: la lasta aventuro dum veturo Raymond Schwartz La Stranga Butiko ; vojaĝantoj, kiuj venas ĉu ŝipe, ĉu bicikle, e aŭ piede trovos belajn malnovajn monumentojn, bonegan gastronomion kaj komfortajn gastejojn por pilgrimantoj Rafaela Urueña Vojoj al la sankta urbo Monato 2000/03, p. 24 ; ĉar ne ekzistas hoteloj en la regno, turisto sen aŭtomobilo eĉ ne povas vespermanĝi en Seborgo Thomas Eccardt Urbeto aŭ sendependa lando? Monato 2000/05, p. 8 ; se oni posedas domon kaj on oni devas forte labori por repagi la prunton Remigiusz Mielcarek: Enmigrintoj en ora kaĝo, Monatojaro 1994a, numero 1a, p. 15a ; akcidento mortigis lin Monato Claudinei Ribeiro Memore al Gilbert Ledon ; la intenco estis, per plikostigo de karburaĵo redukti individuan trafikon, samtempe oni volis doni pli da mono al medikonvena fervojo Stefan Maul Memdetrua homaro Monato 2001/02, p. 4 ."
aŭtomobilisto,"Aŭtisto: stirante, istoj kaj motorciklistoj telefonas Christian Fabossou: Ĉu-vi-vidas-min-ismo, Monato jaro 2001a, numero 12a, p. 12a ; ĉu ne estus pli prudente kiel isto tute ne trinki alkoholaĵon Stefan Maul Finfine oni povas diboĉi sen pento Monato 2000/12, p. 30 ?"
aŭtomorfio,Bijekcia endomorfio: o sendanta X al -X Viki Imaginara unuo ; la möbius-a grupo estas la a grupo de la rimana sfero Viki Transformo de Möbius .
interna aŭtomorfio,(en grupo) o de la tipo f(x) = a·x·a-1 por iu a.
aŭtomacio,Aŭtomatigo: o pligrandigis ripozan tempon Viki Fizika taŭgeco ; o de metioj kaj sekva senlaboreco Le Monde diplomatique' en Esperanto .
aŭtomatiko,"Arto programi aŭtomatojn: raporto pri liaj esploroj pri o aperis en la revuo Scientific American en 1915 T. del Barrio, Leonardo Torres Quevedo, per-esperanto-bazascienco, 2002-04-12 ."
aŭtomatikisto,"Specialisto pri o, pri teorio kaj realigo de aŭtomatoj: la ambaŭflanka konverto de Laplace ... estas uzata interalie de istoj kaj ankaŭ uzata en statistiko Viki, laplaca konverto, 2013-01-13 ."
aŭtonoma,"Ĝuanta econ, memstare, sendepende decidanta pri iuj politikaj aferoj: Krimeo estas a respubliko de Ukrainio JeZo, Krimoj en Krimeo, Monato, 2002:6, p. 10a; la brita registaro suspendis la an parlamenton demokratie elektitan de la nordirlanda popolo Monato PGubbins Irlando: Karuselo de seniluziiĝo ; slovenaj feŭdoj, teorie ligitaj al la rom-germana imperio, sed pli-malpli aj ĝis la 13a jc Monato Reago: Eks-Jugoslavio: kiu kiun mistifikas? ."
aŭtonomeco,Grandparta memregeco ekzemple politika aŭ ekonomia; rajto decidi kaj fari la proprajn leĝojn en difinita kampo; aŭtonomio: la kurdoj ekspluatis la aktualan krizon por havigi al si mem pli grandan econ Kon11 Ĉefartikolo ; jam fondiĝis en Kosovo almenaŭ 11 novaj pure etnaj serbaj komunumoj […] posedantaj eksterordinaran econ Monato Bardhyl Selimi Dependa sendependeco 2009 ; 1936 nove elektita hispana registaro restarigas la econ de Katalunio Monato Donald Broadribb Admirinda historilibro 2011 .
aŭtonomio,"Aŭtonomeco: la Irlanda Respubliko agnoskis la on de Skotlando per vizito de la ministro pri eksterlandaj aferoj ĉe la nova skota ĉefministro Irl, Historia paŝo, Monato, 1999:7, p. 6a. kroatoj […] ĝis 1918 havis kadre de hungara, poste aŭstrohungara ŝtato fortan on Zlatko Tišljar Nekredeblaj malveroj Monato 2000/03, p. 12-13 ; en Sovetio ili havis du ajn regionojn: Nord-Osetio ene de Rusio kaj Sud-Osetio kadre de Kartvelio Monato Vjaĉeslav (Slavik) Ivanov La oseta lingvo ."
aŭtonomia,"Aŭtonoma: Eŭskio estas unu el la aj komunumoj, kiuj konsistigas la hispanan regnon kaj havas apartan nacian flagon krom la ŝtata Monato Garbhan Macaoidh Flagoj: fenestro al vasta mondo 2004 ; en Sovetio [osetoj] havis du ajn regionojn: Nord-Osetio ene de Rusio kaj Sud-Osetio kadre de Kartvelio Monato Vjaĉeslav (Slavik) Ivanov La oseta lingvo 2003 ."
aŭtopsio,"Nekropsio: mi petis la distriktan kuraciston, ke li permesu al mi fari la on PatrojFiloj ĉapitro 27a, p. 194a; John McCrae rapide avancis kiel kuracisto, laboris pri oj, pri patologio, pri kontaĝaj malsanoj Monato Gerrit Berveling Tre bonvena verko, sed ... ."
aŭtoro,"Verkinto (de libro aŭ de scienca, literatura, belarta verko)."
aŭtora,Rilata al aŭtoro: aj rajtoj. derechos de autor
aŭtori,"Esti o de, verki: La pupo estas unu el la plej gravaj romanoj de la pola literaturo, ita de Bolesaw Prus P. Fischer-Kotowski, , 26 libroj de la jaro 2016, libera folio, 2016-12-28 ."
aŭtorsigno,Signo montranta la on de iu tekstloko; referenco.
kunaŭtoro,"Tiu, kiu parte verkis."
aŭtoritato,"Spirita povo, influo, bazita sur respekto al la scioj, intelekto, saĝo, kompetento de koncerna persono aŭ institucio: li instruis ilin, kiel havanta on, kaj ne kiel iliaj skribistoj NT Mateo 7:29 ; povante meti en sian parolon on KPr Ĉapitro Tria ; ŝia o en la kastelo estis tiel nula kiel antaŭe KPr Ĉapitro Dekkvina ; la Lingva Komitato […] sola havas on kaj sperton pri tiu demando LR Unua Parto – Leksikologio ."
aŭtoritata,"Estiminda, obeinda, havanta on: a scienculo VivZam Vivo de Zamenhof ; a beletristo LR Unua Parto – Leksikologio ; kelkaj famuloj favore rekomendis esperanton: ... la a lingvisto A. Meje (Meillet) kaj aliaj Lanti: Je la lumo de la sperto; iam ia por ĉiuj a kaj nedisputebla institucio decidos alie F Antaŭparolo ; laŭ la opinio de aliaj personoj, kies juĝo en tiaj aferoj estas pli a ol mia Hamlet Hamleto ; okazas, ke tiaj homoj (inkluzive min) alprenas tonon an, kvazaŭ ili havus ian ĉielan komision deklari, kio estas ĝusta kaj kio malĝusta BonaLingvo necesas ankaŭ legitimi la motivaron per citoj, per ekzemploj el aj fontoj J. Camacho, La liturgio de l' foiro 1999 ."
aŭtoritatismo,"Regado per aj decidoj, pli ol per interparolo kaj kompromiso: en via lando […] la ismo estas hieraŭa memoro kaj hodiaŭa danĝero G. Steele, [hejmpaĝo], 2005 ."
aŭtoritatulo,"Kompetentulo, fidinda eminentulo: li vere estas bona ulo pri la literaturo angla TAA Ĉapitro IV. ; profesoro J.W. Hopkins (Yale Un.), tiutempe la plej granda ulo en fako de reptilioj Salamandroj, Libro 2a, ĉap. 8a.; li estas ne nur inteligentulo, sed efektive vera ulo, kiu preferas aŭskulti la opiniojn de aliaj ol esprimi la proprajn TAA Ĉapitro VI. ."
senaŭtoritatigi,"Forigi ies on: malakceptante la evidenton, ili […] ridindigis la laboristan movadon, senigis ĝin ekstermo-cele Hispanio strikis Kajeroj el la Sudo, n-ro 22, aprilo-junio 1994, p. 10 ; tiu ago, la plej mortiga de la tuta konflikto, senigis la respublikanan militismon Le Mon Daniel Finn Kaj IRA rezignis armilojn, Skismaj respublikanoj Le Monde diplomatique en Esperanto, junio 2023 ."
aŭtotrofa,"Produktanta la vivnecesajn organikajn substancojn el mineralaj elementoj: la plantoj, krom la gaso CO2 ensorbas akvon kaj salojn solvitajn en ĝi; ili uzas nur ne organikajn kombinaĵojn; tiujn organismojn oni nomas aj, laŭvorte memnutrantaj C. Støp-Bowitz, Mészáros B. Enkonduko en la Biologion Fokuso, 1987:4 ."
aŭtotrofulo,"Vivaĵo, kiu produktas sian organikan substancon rekte el mineralaj elementoj, kontraste al heterotrofulo."
aŭtuno,"Sezono de malvarmiĝo post somero, antaŭ vintro (laŭ la gregoria kalendaro, en la moderklimata zono de la norda duonglobo ‐ de proksimume la 23a tago de septembro ĝis la 21a de decembro; en la suda duonglobo, de la 21a de marto ĝis la 21a de junio): multaj birdoj flugas en la o en pli varmajn landojn F, 32; ankoraŭ estis agrable varme, sed jam senteblis la friska spiro de o Julian Modest, La ringo, Monato, jaro 2002a, numero 3a, p. 32a ."
